detector,batch_id,score,flagged,threshold,model,features,seed
conf,43,0.08425611593539967,False,0.18570183064151252,xgb,base_gfp,2
psi,44,1.0654070274779905,False,1.5236816451484274,xgb,base_gfp,2
ks,44,0.5271317829457365,False,0.6434108527131783,xgb,base_gfp,2
conf,44,0.13601307867761797,False,0.18570183064151252,xgb,base_gfp,2
psi,45,1.1946084977499207,False,1.5236816451484274,xgb,base_gfp,2
ks,45,0.6046511627906976,False,0.6434108527131783,xgb,base_gfp,2
conf,45,0.11844159314145991,False,0.18570183064151252,xgb,base_gfp,2
psi,46,3.146406778299379,True,1.5236816451484274,xgb,base_gfp,2
ks,46,0.4263565891472868,False,0.6434108527131783,xgb,base_gfp,2
conf,46,0.11250677771599482,False,0.18570183064151252,xgb,base_gfp,2
psi,47,1.0992834530064284,False,1.5236816451484274,xgb,base_gfp,2
ks,47,0.6511627906976745,True,0.6434108527131783,xgb,base_gfp,2
conf,47,0.08518470917771259,False,0.18570183064151252,xgb,base_gfp,2
psi,48,1.6460483841916336,True,1.5236816451484274,xgb,base_gfp,2
ks,48,0.6046511627906976,False,0.6434108527131783,xgb,base_gfp,2
conf,48,0.13700899878188338,False,0.18570183064151252,xgb,base_gfp,2
psi,49,1.7411674900877954,True,1.5236816451484274,xgb,base_gfp,2
ks,49,0.6666666666666666,True,0.6434108527131783,xgb,base_gfp,2
conf,49,0.21457182270842562,True,0.18570183064151252,xgb,base_gfp,2
psi,38,0.25861448529111825,False,1.5236816451484274,xgb,base_gfp,3
ks,38,0.5813953488372093,False,0.6434108527131783,xgb,base_gfp,3
conf,38,0.10333040449497599,False,0.18570183064151252,xgb,base_gfp,3
psi,39,2.467151526727238,True,1.5236816451484274,xgb,base_gfp,3
ks,39,0.5581395348837209,False,0.6434108527131783,xgb,base_gfp,3
conf,39,0.15330609389504907,False,0.18570183064151252,xgb,base_gfp,3
psi,40,1.086082397008295,False,1.5236816451484274,xgb,base_gfp,3
ks,40,0.7209302325581395,True,0.6434108527131783,xgb,base_gfp,3
conf,40,0.14897944154169523,False,0.18570183064151252,xgb,base_gfp,3
psi,41,2.4366026960212794,True,1.5236816451484274,xgb,base_gfp,3
ks,41,0.4728682170542636,False,0.6434108527131783,xgb,base_gfp,3
conf,41,0.15487844386240768,False,0.18570183064151252,xgb,base_gfp,3
psi,42,1.2007690266960573,False,1.5236816451484274,xgb,base_gfp,3
ks,42,0.6356589147286822,False,0.6434108527131783,xgb,base_gfp,3
conf,42,0.09362620755259884,False,0.18570183064151252,xgb,base_gfp,3
psi,43,0.9255674988757383,False,1.5236816451484274,xgb,base_gfp,3
ks,43,0.7054263565891473,True,0.6434108527131783,xgb,base_gfp,3
conf,43,0.08425611593539967,False,0.18570183064151252,xgb,base_gfp,3
psi,44,1.0654070274779905,False,1.5236816451484274,xgb,base_gfp,3
ks,44,0.5271317829457365,False,0.6434108527131783,xgb,base_gfp,3
conf,44,0.13601307867761797,False,0.18570183064151252,xgb,base_gfp,3
psi,45,1.1946084977499207,False,1.5236816451484274,xgb,base_gfp,3
ks,45,0.6046511627906976,False,0.6434108527131783,xgb,base_gfp,3
conf,45,0.11844159314145991,False,0.18570183064151252,xgb,base_gfp,3
psi,46,3.146406778299379,True,1.5236816451484274,xgb,base_gfp,3
ks,46,0.4263565891472868,False,0.6434108527131783,xgb,base_gfp,3
conf,46,0.11250677771599482,False,0.18570183064151252,xgb,base_gfp,3
psi,47,1.0992834530064284,False,1.5236816451484274,xgb,base_gfp,3
ks,47,0.6511627906976745,True,0.6434108527131783,xgb,base_gfp,3
conf,47,0.08518470917771259,False,0.18570183064151252,xgb,base_gfp,3
psi,48,1.6460483841916336,True,1.5236816451484274,xgb,base_gfp,3
ks,48,0.6046511627906976,False,0.6434108527131783,xgb,base_gfp,3
conf,48,0.13700899878188338,False,0.18570183064151252,xgb,base_gfp,3
psi,49,1.7411674900877954,True,1.5236816451484274,xgb,base_gfp,3
ks,49,0.6666666666666666,True,0.6434108527131783,xgb,base_gfp,3
